,idno,tesoid,author-name,title-short,performance,print-source,written,subgenre
te0048,te0048,1047030,Calderon,AstrologoFingido,N/A,1637,N/A,comedia
te0049,te0049,105009,Calderon,TvProximoTi,N/A,1717,N/A,auto sacramental
te0050,te0050,1086465,Calderon,AvristelaLisidante,N/A,1683,N/A,comedia
te0051,te0051,1151824,Calderon,AvroraCopacabana,N/A,1674,1664,comedia
te0052,te0052,1207070,Calderon,BastaCallar,N/A,1682,N/A,comedia
te0053,te0053,1285501,Calderon,BienVengasMal,N/A,1691,N/A,comedia
te0054,te0054,1326829,Calderon,CabellosAbsalon,N/A,1684,N/A,comedia
te0055,te0055,1374380,Calderon,CadaSi,N/A,1691,N/A,comedia
te0056,te0056,140918,Calderon,AfectosOdioAmor,N/A,1664,N/A,comedia
te0057,te0057,1424440,Calderon,CadenasDemonio,N/A,1684,N/A,drama
te0452,te0452,17007789,Tirso,AmantesTervel,1615,1635,N/A,comedia histórica
te0453,te0453,17049530,Tirso,AmarArteMayor,1630,1636,N/A,comedia de capa y espada y palatina
te0456,te0456,17168022,Tirso,AmorMedico,1620,1635,N/A,comedia de capa y espada y palatina
te0458,te0458,17258315,Tirso,AmorZelosHazenDiscretos,1615,1635,N/A,comedia histórica
te0459,te0459,17294860,Tirso,AntonaGarcia,1622,1635,N/A,comedia histórica
te0462,te0462,17425908,Tirso,AverigveloVargas,1621,1634,N/A,comedia histórica
te0463,te0463,17478689,Tirso,CastigoPenseqve,1614,1631,N/A,comedia de capa y espada y palatina
te0467,te0467,17613875,Tirso,DamaOliuar,1614,1636,N/A,comedia histórica
te0469,te0469,17695871,Tirso,DonGilCalzasVerdes,1615,1635,N/A,comedia de capa y espada y palatina
te0472,te0472,17794338,Tirso,EleccionVirtvt,1622,1634,N/A,comedia histórica
